import time: self [us] | cumulative | imported package
import time:       133 |        133 |   _io
import time:        23 |         23 |   marshal
import time:       217 |        217 |   posix
import time:       465 |        836 | _frozen_importlib_external
import time:       102 |        102 |   time
import time:       140 |        242 | zipimport
import time:        40 |         40 |     _codecs
import time:       358 |        398 |   codecs
import time:       232 |        232 |   encodings.aliases
import time:       314 |        943 | encodings
import time:       112 |        112 | encodings.utf_8
import time:        65 |         65 | _signal
import time:        18 |         18 |     _abc
import time:        93 |        111 |   abc
import time:        97 |        208 | io
import time:        29 |         29 |       _stat
import time:        60 |         88 |     stat
import time:       587 |        587 |     _collections_abc
import time:        39 |         39 |       errno
import time:        57 |         57 |       genericpath
import time:       110 |        206 |     posixpath
import time:       376 |       1255 |   os
import time:        55 |         55 |   _sitebuiltins
import time:       306 |        306 |   encodings.utf_8_sig
import time:       139 |        139 |     types
import time:        64 |         64 |     cuda
import time:       293 |        494 |   _cuda_bindings_redirector
import time:       150 |        150 |   _distutils_hack
import time:      3119 |       3119 |   sitecustomize
import time:        45 |         45 |   usercustomize
import time:       683 |       6102 | site
import time:       200 |        200 |         warnings
import time:       147 |        147 |         _weakrefset
import time:        69 |         69 |         itertools
import time:       241 |        241 |         _collections
import time:       373 |       1027 |       threading
import time:       220 |       1247 |     sysconfig
import time:       302 |        302 |     _ctypes
import time:       122 |        122 |       _struct
import time:        95 |        216 |     struct
import time:       182 |        182 |     ctypes._endian
import time:      3534 |       5479 |   ctypes
import time:       164 |        164 |       keyword
import time:        46 |         46 |         _operator
import time:       188 |        233 |       operator
import time:       133 |        133 |       reprlib
import time:      2231 |       2759 |     collections
import time:        47 |         47 |     _functools
import time:       329 |       3135 |   functools
import time:       366 |        366 |     contextlib
import time:       852 |        852 |       enum
import time:        52 |         52 |         _sre
import time:       136 |        136 |           re._constants
import time:       222 |        357 |         re._parser
import time:        83 |         83 |         re._casefix
import time:       215 |        706 |       re._compiler
import time:       133 |        133 |       copyreg
import time:      3394 |       5083 |     re
import time:        80 |         80 |     fnmatch
import time:       496 |       6023 |   glob
import time:       128 |        128 |   importlib
import time:       675 |        675 |       _ast
import time:       761 |       1436 |     ast
import time:       118 |        118 |         _opcode
import time:       126 |        126 |         _opcode_metadata
import time:       174 |        417 |       opcode
import time:       532 |        949 |     dis
import time:        48 |         48 |     importlib.machinery
import time:       105 |        105 |     linecache
import time:       105 |        105 |       token
import time:        33 |         33 |       _tokenize
import time:       489 |        626 |     tokenize
import time:       285 |        285 |     weakref
import time:      1438 |       4883 |   inspect
import time:       166 |        166 |   math
import time:        56 |         56 |     _wmi
import time:       442 |        497 |   platform
import time:       547 |        547 |   textwrap
import time:        38 |         38 |     _typing
import time:      1621 |       1659 |   typing
import time:       260 |        260 |     _socket
import time:      1089 |       1349 |   typing_extensions
import time:        81 |         81 |           __future__
import time:       146 |        226 |         _colorize
import time:       425 |        651 |       traceback
import time:        23 |         23 |         _string
import time:       538 |        561 |       string
import time:        33 |         33 |       atexit
import time:       991 |       2235 |     logging
import time:       398 |       2632 |   torch._utils
import time:       191 |        191 |         zlib
import time:       126 |        126 |           _compression
import time:       150 |        150 |           _bz2
import time:       142 |        418 |         bz2
import time:       218 |        218 |           _lzma
import time:       145 |        362 |         lzma
import time:       526 |       1496 |       shutil
import time:       118 |        118 |           _bisect
import time:        71 |        189 |         bisect
import time:        77 |         77 |         _random
import time:       241 |        506 |       random
import time:       276 |       2277 |     tempfile
import time:       101 |        101 |       torch._strobelight
import time:       100 |        100 |             _json
import time:       368 |        468 |           json.scanner
import time:       276 |        743 |         json.decoder
import time:       254 |        254 |         json.encoder
import time:       102 |       1098 |       json
import time:        59 |         59 |           _locale
import time:       491 |        549 |         locale
import time:       350 |        350 |         signal
import time:       106 |        106 |         fcntl
import time:        58 |         58 |         msvcrt
import time:       103 |        103 |         _posixsubprocess
import time:        90 |         90 |         select
import time:       335 |        335 |         selectors
import time:       433 |       2020 |       subprocess
import time:       143 |        143 |         _datetime
import time:        89 |        232 |       datetime
import time:       145 |        145 |         array
import time:       825 |        969 |       socket
import time:        30 |         30 |           gc
import time:       149 |        179 |         timeit
import time:       249 |        427 |       torch._strobelight.cli_function_profiler
import time:       223 |       5068 |     torch._strobelight.compile_time_profiler
import time:       210 |       7554 |   torch._utils_internal
import time:        52 |         52 |         torch._vendor
import time:        76 |        128 |       torch._vendor.packaging
import time:       128 |        128 |       torch._vendor.packaging._structures
import time:      2717 |       2972 |     torch._vendor.packaging.version
import time:        86 |         86 |     torch.version
import time:       122 |       3179 |   torch.torch_version
import time:        20 |         20 |   torch._rocm_init
import time:       138 |        138 |       numpy.version
import time:        97 |         97 |       numpy._expired_attrs_2_0
import time:        62 |         62 |           numpy._utils._convertions
import time:        64 |        125 |         numpy._utils
import time:       191 |        316 |       numpy._globals
import time:        16 |         16 |         numpy._distributor_init_local
import time:        60 |         75 |       numpy._distributor_init
import time:       171 |        171 |                 numpy.exceptions
import time:       169 |        169 |                 numpy._core._exceptions
import time:        90 |         90 |                     _contextvars
import time:        59 |        148 |                   contextvars
import time:       106 |        254 |                 numpy._core.printoptions
import time:       182 |        182 |                 numpy.dtypes
import time:      4165 |       4938 |               numpy._core._multiarray_umath
import time:       128 |        128 |                 numpy._utils._inspect
import time:       222 |        349 |               numpy._core.overrides
import time:       350 |       5636 |             numpy._core.multiarray
import time:       102 |        102 |             numpy._core.umath
import time:       338 |        338 |               numbers
import time:       168 |        168 |               numpy._core._dtype
import time:        76 |         76 |               numpy._core._string_helpers
import time:       151 |        151 |               numpy._core._type_aliases
import time:       197 |        929 |             numpy._core.numerictypes
import time:        88 |         88 |               numpy._core._ufunc_config
import time:       137 |        137 |                     _compat_pickle
import time:       210 |        210 |                     _pickle
import time:       561 |        907 |                   pickle
import time:       141 |       1047 |                 numpy._core._methods
import time:       535 |       1582 |               numpy._core.fromnumeric
import time:       119 |       1788 |             numpy._core._machar
import time:       347 |        347 |                 numpy._core.shape_base
import time:        96 |         96 |                 numpy._core._asarray
import time:       337 |        337 |                 numpy._core.arrayprint
import time:      2484 |       3263 |               numpy._core.numeric
import time:       198 |       3460 |             numpy._core.einsumfunc
import time:       149 |        149 |             numpy._core.function_base
import time:       217 |        217 |             numpy._core.getlimits
import time:       122 |        122 |             numpy._core.memmap
import time:       179 |        179 |             numpy._core.records
import time:       540 |        540 |             numpy._core._add_newdocs
import time:       288 |        288 |             numpy._core._add_newdocs_scalars
import time:        73 |         73 |             numpy._core._dtype_ctypes
import time:       494 |        494 |             numpy._core._internal
import time:      3156 |       3156 |             numpy._pytesttester
import time:       372 |      17498 |           numpy._core
import time:        22 |      17519 |         numpy._core._multiarray_umath
import time:       235 |      17753 |       numpy.__config__
import time:       148 |        148 |                         numpy._typing._nbit_base
import time:       134 |        134 |                         numpy._typing._nested_sequence
import time:        98 |         98 |                         numpy._typing._shape
import time:      1031 |       1409 |                       numpy._typing._array_like
import time:       832 |        832 |                       numpy._typing._char_codes
import time:      1092 |       1092 |                       numpy._typing._dtype_like
import time:       109 |        109 |                       numpy._typing._nbit
import time:        61 |         61 |                       numpy._typing._scalars
import time:        44 |         44 |                       numpy._typing._ufunc
import time:      3201 |       6744 |                     numpy._typing
import time:       117 |        117 |                       numpy.lib._stride_tricks_impl
import time:       162 |        279 |                     numpy.lib._twodim_base_impl
import time:        44 |         44 |                       numpy.lib._array_utils_impl
import time:        47 |         90 |                     numpy.lib.array_utils
import time:       245 |        245 |                     numpy.linalg._umath_linalg
import time:      4084 |      11440 |                   numpy.linalg._linalg
import time:        72 |         72 |                   numpy.linalg.linalg
import time:       116 |      11627 |                 numpy.linalg
import time:       165 |      11791 |               numpy.matrixlib.defmatrix
import time:        77 |      11868 |             numpy.matrixlib
import time:       213 |        213 |               numpy.lib._histograms_impl
import time:       834 |       1047 |             numpy.lib._function_base_impl
import time:        88 |         88 |             numpy.lib.stride_tricks
import time:       309 |      13310 |           numpy.lib._index_tricks_impl
import time:       149 |      13459 |         numpy.lib._arraypad_impl
import time:       456 |        456 |         numpy.lib._arraysetops_impl
import time:       100 |        100 |         numpy.lib._arrayterator_impl
import time:       237 |        237 |         numpy.lib._nanfunctions_impl
import time:       126 |        126 |               numpy.lib._utils_impl
import time:       146 |        272 |             numpy.lib._format_impl
import time:        87 |        358 |           numpy.lib.format
import time:       167 |        167 |           numpy.lib._datasource
import time:       233 |        233 |           numpy.lib._iotools
import time:      3654 |       4410 |         numpy.lib._npyio_impl
import time:        58 |         58 |             numpy.lib._ufunclike_impl
import time:       141 |        198 |           numpy.lib._type_check_impl
import time:       344 |        542 |         numpy.lib._polynomial_impl
import time:       230 |        230 |         numpy.lib._shape_base_impl
import time:       110 |        110 |         numpy.lib._version
import time:        52 |         52 |         numpy.lib.introspect
import time:        85 |         85 |         numpy.lib.mixins
import time:        35 |         35 |         numpy.lib.npyio
import time:       123 |        123 |           numpy.lib._scimath_impl
import time:        34 |        156 |         numpy.lib.scimath
import time:       251 |      20118 |       numpy.lib
import time:        73 |         73 |       numpy._array_api_info
import time:      4637 |      43203 |     numpy
import time:    181450 |     224653 |   torch._C
import time:      3188 |       3188 |     copy
import time:       109 |        109 |     torch._namedtensor_internals
import time:       863 |        863 |     torch.overrides
import time:       617 |       4775 |   torch._tensor
import time:       208 |        208 |     torch.types
import time:       612 |        819 |   torch.storage
import time:       175 |        175 |     torch.amp.autocast_mode
import time:      3682 |       3682 |     torch.amp.grad_scaler
import time:       102 |       3958 |   torch.amp
import time:       111 |        111 |   torch.random
import time:       178 |        178 |         _heapq
import time:       131 |        309 |       heapq
import time:       418 |        727 |     difflib
import time:        48 |         48 |       pwd
import time:       170 |        170 |       grp
import time:       871 |       1089 |     tarfile
import time:       182 |        182 |     torch._weights_only_unpickler
import time:       280 |        280 |     torch._sources
import time:      3226 |       3226 |     mmap
import time:       688 |       6189 |   torch.serialization
import time:       456 |        456 |     dataclasses
import time:       692 |       1148 |   torch._tensor_str
import time:      3473 |       3473 |     torch.cuda._device_limits
import time:        86 |         86 |     torch.cuda.gds
